Language,City,Venue,Show Time,Total Seats,Booked Seats,Occupancy (%),Booked Collection (₹),Total Collection (₹),Avg Ticket Price (₹)
"Telugu","Bengaluru","Prasanna Digital 4K Cinema: Magadi Road","10:30 PM","1103","76","6.89%","11600.00","193025.00","175.00"
"Telugu","Bengaluru","PVR: Aura Park Square, Whitefield","02:45 PM","182","131","71.98%","58000.00","97066.67","533.33"
"Telugu","Bengaluru","PVR: Aura Park Square, Whitefield","06:50 PM","184","106","57.61%","48800.00","98133.33","533.33"
"Telugu","Bengaluru","PVR: Aura Park Square, Whitefield","10:20 PM","184","42","22.83%","16800.00","98133.33","533.33"
"Telugu","Bengaluru","PVR: MSR Elements Mall, Tanisandhra Main Road","03:00 PM","126","75","59.52%","33600.00","63000.00","500.00"
"Telugu","Bengaluru","PVR: MSR Elements Mall, Tanisandhra Main Road","10:00 PM","126","40","31.75%","16000.00","63000.00","500.00"
"Telugu","Bengaluru","PVR: Orion Uptown, Old Madras Road, Bengaluru","03:00 PM","128","112","87.50%","44800.00","51200.00","400.00"
"Telugu","Bengaluru","PVR: Orion Uptown, Old Madras Road, Bengaluru","09:50 PM","128","81","63.28%","32400.00","51200.00","400.00"
"Telugu","Bengaluru","PVR: Phoenix Marketcity Mall, Whitefield Road","02:45 PM","148","115","77.70%","50200.00","76466.67","516.67"
"Telugu","Bengaluru","PVR: Soul Spirit Central Mall, Bellandur","02:55 PM","214","181","84.58%","79600.00","114133.33","533.33"
"Telugu","Bengaluru","PVR: Superplex Forum Mall, Kanakapura Road","06:00 PM","64","32","50.00%","33100.00","65600.00","1025.00"
"Telugu","Bengaluru","PVR: Vaishnavi Sapphire Mall, Yeshwanthpur","10:20 PM","179","26","14.53%","10400.00","95466.67","533.33"
"Telugu","Bengaluru","PVR: Vega City, Bannerghatta Road","10:30 PM","95","55","57.89%","24000.00","50666.67","533.33"
"Telugu","Bengaluru","PVR: VR Bengaluru, Whitefield Road","02:40 PM","160","129","80.63%","56400.00","85333.33","533.33"
"Telugu","Bengaluru","PVR: VR Bengaluru, Whitefield Road","10:10 PM","56","10","17.86%","10000.00","56000.00","1000.00"
